fund_name;manager_name;vintage_year;strategy;geography;irr;tvpi;dpi;nav;commitment;paid_in;distributions;fund_size;source_name;source_file;source_page;raw_text;data_quality_flag;;
* Amsterdam NewPort Capital NewPort Buyout Fund III 2024;* Amsterdam NewPort Capital;2026.0;buyout;europe;;;;;;;;€ 175;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Almelo/Woerden Strada Partners Strada Partners Fund I 2023;Almelo/Woerden Strada Partners;2026.0;buyout;europe;;;;;;;;€ 200;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Amsterdam Alpha Group Alpha Private Equity Fund 8 2023;Amsterdam Alpha Group Alpha Private Equity;2026.0;buyout;europe;;;;;;;;€ 1,50;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025;Amsterdam Bencis Capital;2026.0;buyout;europe;;;;;;;;€ 625;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Amsterdam Egeria Egeria Private Equity Fund VI 2024;Amsterdam Egeria Egeria Private Equity;2026.0;buyout;europe;;;;;;;;€ 1,25;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Amsterdam Fortino Capital Fortino Capital Growth PE II 2021;Amsterdam Fortino Capital;2026.0;buyout;europe;;;;;;;;€ 377;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Amsterdam Fortino Capital Fortino Capital Growth PE III 2025;Amsterdam Fortino Capital;2026.0;buyout;europe;;;;;;;;€ 700;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Amsterdam Freshstream Investment Partners Freshstream II 2021;Amsterdam Freshstream Investment Partners;2026.0;buyout;europe;;;;;;;;€ 762;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;clean_extraction;;
Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025;Amsterdam Gilde Equity;2026.0;buyout;europe;;;;;;;;€ 600;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023;Amsterdam Gilde Healthcare Partners;2026.0;buyout;europe;;;;;;;;€ 740;Evercore PFG;Evercore PFG - Benelux Private Equity Market Map H1 2026.pdf;5;2026 H1 H2 H1 H2 H1 H2 Lexar Partners Lexar Partners Fund I 2022 €55 Laren DELTA Equity Partners Delta Equity Partners Technology & Health Fund 2022 €75 Amsterdam Torqx Capital Partners Torqx Capital Partners II 2022 €230 Bussum Sofindev Sofindev VI 2022 €250 Diegem Mentha Capital Mentha Capital VII 2022 €264 Amsterdam Freshstream Investment Partners Freshstream II 2021 €762 London Synergia Capital Partners Synergia Capital Fund VI 2022 €200 Veenendaal Forbion Forbion Growth Opportunities Fund II 2022 €616 Naarden IceLake Capital IceLake Capital Fund II 2022 €350 Amsterdam Fortino Capital Fortino Capital Growth PE II 2021 €377 Antwerp VE Partners Value Enhancement Partners Special Situations IV 2023 €140 Amsterdam Capital A Capital A Investment Partners Fund IX 2023 €350 Amsterdam Gilde Healthcare Partners Gilde Healthcare VI 2023 €740 Utrecht Parcom Parcom Fund VII 2023 €960 Amsterdam Quadrum Capital Quadrum Investment Fund IV 2022 €425 Almelo/Woerden Strada Partners Strada Partners Fund I 2023 €200 Antwerp Holland Capital Holland Capital Growth and Buyout V 2024 €225 Amsterdam Main Capital Partners Main Foundation II 2024 €507 The Hague Main Capital Partners Main Capital VIII 2024 €1,933 The Hague Vortex Capital Partners Vortex Capital Partners Buyout Fund IV 2024 €145 Amsterdam Alpha Group Alpha Private Equity Fund 8 2023 €1,500 Luxembourg Vendis Capital Vendis Capital IV 2024 €525 Brussels Forbion Forbion Growth Opportunities Fund III 2024 €1,200 Naarden Rivean Capital Rivean Buyout Fund VII 2023 €1,580 Amsterdam H2 Equity Partners H2 Equity Partners Fund VII 2024 €250 Amsterdam IceLake Capital IceLake Capital Fund III 2024 €700 Amsterdam Egeria Egeria Private Equity Fund VI 2024 €1,250 Amsterdam Gilde Equity Management Benelux GEM Benelux VI 2025 €600 Houten 365 Capital 365 Capital Fund II 2024 €255 Amsterdam VE Partners Value Enhancement Partners Special Situations V 2025 €230 Amsterdam Nyver Nyver Fund I 2025 €335 Amsterdam Bencis Capital Partners Bencis Buyout Fund VII 2025 €625 Amsterdam Fortino Capital Fortino Capital Growth PE III 2025 €700 Antwerp Standard Investment Standard Investment Fund V 2025 €150 Amsterdam Capital A Capital A Investment Partners Fund X 2025 €350** Amsterdam NewPort Capital NewPort Buyout Fund III 2024 €175* Amsterdam M80 M80 Capital Fund II 2024 €250* Brussels Lexar Partners Lexar Partners Fund II 2024 €120* Laren Nobel Capital Partners Nobel Capital Partners Fund III 2025 €100* Amsterdam;needs_review_possible_merged_name;;
